"Time","Digital_FlowMeter","Real_FlowMeter"
"2019-01-16 14:14:55","67.4000","67.4000"
"2019-01-16 14:14:56","67.4000","67.4000"
"2019-01-16 14:14:57","67.4000","67.4000"
"2019-01-16 14:14:58","67.4000","67.4000"
"2019-01-16 14:14:59","67.4000","67.4000"
"2019-01-16 14:15:00","67.4000","67.4000"
"2019-01-16 14:15:01","67.4000","67.4000"
"2019-01-16 14:15:02","67.4000","67.4000"
"2019-01-16 14:15:03","67.4000","67.4000"
"2019-01-16 14:15:04","67.4000","67.4000"
"2019-01-16 14:15:05","67.4000","67.4000"
"2019-01-16 14:15:06","67.4000","67.4000"
"2019-01-16 14:15:07","67.4000","67.4000"
"2019-01-16 14:15:08","67.4000","67.4000"
"2019-01-16 14:15:09","67.4000","67.4000"
"2019-01-16 14:15:10","67.4000","67.4000"
"2019-01-16 14:15:11","67.4000","67.4000"
"2019-01-16 14:15:12","67.4000","67.4000"
"2019-01-16 14:15:13","67.4000","67.4000"
"2019-01-16 14:15:14","67.4000","67.4000"
"2019-01-16 14:15:15","67.4000","67.4000"
"2019-01-16 14:15:16","67.4000","67.4000"
"2019-01-16 14:15:17","67.4000","67.4000"
"2019-01-16 14:15:18","67.4000","67.4000"
"2019-01-16 14:15:19","67.4000","67.4000"
"2019-01-16 14:15:20","67.4000","67.4000"
"2019-01-16 14:15:21","67.4000","67.4000"
"2019-01-16 14:15:22","67.4000","67.4000"
"2019-01-16 14:15:23","67.4000","67.4000"
"2019-01-16 14:15:24","67.4000","67.4000"
"2019-01-16 14:15:25","67.4000","67.4000"
"2019-01-16 14:15:26","67.4000","67.4000"
"2019-01-16 14:15:27","67.4000","67.4000"
"2019-01-16 14:15:28","67.4000","67.4000"
"2019-01-16 14:15:29","67.4000","67.4000"
"2019-01-16 14:15:30","67.4000","67.4000"
"2019-01-16 14:15:31","67.4000","67.4000"
"2019-01-16 14:15:32","67.4000","67.4000"
"2019-01-16 14:15:33","67.4000","67.4000"
